stock_code,stock_name,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason,retrace_date,surge_date,support_level,buy_year
603063,603063_data,2019-02-13 00:00:00,2019-02-19 00:00:00,8.0,8.7584,9.129999999999999,6,移动止盈,2019-02-12 00:00:00,2019-02-11 00:00:00,6.67,2019
600906,600906_data,2021-06-22 00:00:00,2021-06-28 00:00:00,16.8973,17.3052,2.063995135317464,6,移动止盈,2021-06-21 00:00:00,2021-06-18 00:00:00,14.71,2021
002721,002721_data,2019-02-27 00:00:00,2019-03-08 00:00:00,6.32,6.578,3.732278481012658,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,6.06,2019
605005,605005_data,2021-04-21 00:00:00,2021-04-26 00:00:00,21.59,20.497600000000002,-5.409749884205641,5,移动止盈,2021-04-20 00:00:00,2021-04-19 00:00:00,18.79,2021
002189,002189_data,2019-02-12 00:00:00,2019-02-22 00:00:00,15.0,15.345600000000001,1.9540000000000068,10,移动止盈,2019-02-11 00:00:00,2019-02-01 00:00:00,12.95,2019
002933,002933_data,2019-02-27 00:00:00,2019-03-08 00:00:00,49.24,51.970800000000004,5.195897644191718,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,45.6,2019
600879,600879_data,2019-02-27 00:00:00,2019-03-14 00:00:00,6.56,6.9828,6.095121951219521,15,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,6.34,2019
000758,000758_data,2019-02-27 00:00:00,2019-03-07 00:00:00,4.75,5.0784,6.56368421052632,8,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,4.2,2019
601375,601375_data,2019-02-26 00:00:00,2019-03-04 00:00:00,6.1509,5.7684,-6.568602155782085,6,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,4.77,2019
002756,002756_data,2019-02-18 00:00:00,2019-02-26 00:00:00,15.01,15.253599999999999,1.2729180546302394,8,移动止盈,2019-02-15 00:00:00,2019-02-14 00:00:00,14.18,2019
600393,600393_data,2019-02-27 00:00:00,2019-03-06 00:00:00,2.93,3.0452000000000004,3.581740614334477,7,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,2.72,2019
603803,603803_data,2019-02-13 00:00:00,2019-02-27 00:00:00,10.99,11.5184,4.458007279344854,14,移动止盈,2019-02-12 00:00:00,2019-02-11 00:00:00,10.45,2019
002342,002342_data,2019-02-27 00:00:00,2019-03-05 00:00:00,3.85,3.9468,2.164285714285714,6,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,3.63,2019
603999,603999_data,2019-02-26 00:00:00,2019-03-04 00:00:00,6.464,5.946880000000001,-8.349999999999989,6,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,5.28,2019
002579,002579_data,2019-02-13 00:00:00,2019-02-19 00:00:00,10.16,10.5984,3.964960629921256,6,移动止盈,2019-02-12 00:00:00,2019-02-11 00:00:00,8.86,2019
600938,600938_data,2022-05-31 00:00:00,2022-06-16 00:00:00,19.5,18.8508,-3.679230769230772,16,移动止盈,2022-05-30 00:00:00,2022-05-27 00:00:00,17.2,2022
