2026-04-21 21:29:16 [INFO] 📂 加载回测数据：data/new_coins_backtest.json
2026-04-21 21:29:16 [INFO] ✅ 加载成功，共 100 个币种
2026-04-21 21:29:16 [INFO] 📊 回测期间：2026-01-21 21:00:00 ~ 2026-04-21 21:00:00
2026-04-21 21:29:16 [INFO] 🚀 开始回测 v3.1: 2026-01-21 21:00:00 ~ 2026-04-21 21:00:00
2026-04-21 21:29:16 [INFO] 📊 共有 2160 个评分时点
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-02 22:01:00, 价格=327.2600, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-02 22:01:00, 价格=0.0960, 评分=9.00, 三次冲顶=True, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 MANTAUSDT 开仓：时间=2026-04-03 00:01:00, 价格=0.0612, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ASRUSDT 开仓：时间=2026-04-03 00:01:00, 价格=1.2360, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XLMUSDT 开仓：时间=2026-04-03 00:01:00, 价格=0.1647, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-03 00:01:00, 价格=0.0192, 评分=7.00, 三次冲顶=False, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-03 00:01:00, 价格=328.6900, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-03 00:01:00, 价格=0.0950, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 MANTAUSDT 开仓：时间=2026-04-03 02:01:00, 价格=0.0612, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ASRUSDT 开仓：时间=2026-04-03 02:01:00, 价格=1.2380, 评分=10.00, 三次冲顶=True, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 XLMUSDT 开仓：时间=2026-04-03 02:01:00, 价格=0.1651, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-03 02:01:00, 价格=0.0193, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-03 02:01:00, 价格=326.8600, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-03 02:01:00, 价格=0.0960, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 MANTAUSDT 开仓：时间=2026-04-03 04:01:00, 价格=0.0608, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ASRUSDT 开仓：时间=2026-04-03 04:01:00, 价格=1.2280, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XLMUSDT 开仓：时间=2026-04-03 04:01:00, 价格=0.1644, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-03 04:01:00, 价格=0.0194, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-03 04:01:00, 价格=328.9000, 评分=10.00, 三次冲顶=True, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-03 04:01:00, 价格=0.0960, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 MANTAUSDT 开仓：时间=2026-04-03 06:01:00, 价格=0.0609, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ASRUSDT 开仓：时间=2026-04-03 06:01:00, 价格=1.2210, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XLMUSDT 开仓：时间=2026-04-03 06:01:00, 价格=0.1635, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-03 06:01:00, 价格=0.0192, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-03 06:01:00, 价格=326.1800, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-03 06:01:00, 价格=0.0960, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 MANTAUSDT 开仓：时间=2026-04-03 08:01:00, 价格=0.0607, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ASRUSDT 开仓：时间=2026-04-03 08:01:00, 价格=1.2190, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XLMUSDT 开仓：时间=2026-04-03 08:01:00, 价格=0.1630, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-03 08:01:00, 价格=0.0192, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-03 08:01:00, 价格=326.7500, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-03 08:01:00, 价格=0.0960, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 MANTAUSDT 开仓：时间=2026-04-03 10:01:00, 价格=0.0608, 评分=8.00, 三次冲顶=True, 量价背离=False
