date,open,high,low,close,volume,amount,turn,ma20
2023-02-23,4106.2136,4132.3896,4088.2073,4103.6463,10356490600,197193582430.1000,0.357661,4129.09254
2023-02-24,4100.9897,4102.6094,4048.2374,4061.0457,10098942500,191210465053.2000,0.348767,4123.06849
2023-02-27,4040.4571,4067.0296,4034.5237,4043.8444,9378763000,187959491145.3000,0.323797,4115.19346
2023-02-28,4058.1298,4074.2639,4026.4476,4069.4587,11032359100,198799712379.1000,0.380886,4110.823504999999
2023-03-01,4068.7331,4135.4812,4061.2167,4126.9415,15601579400,255374791015.7000,0.538630,4107.37392
2023-03-02,4119.9919,4137.2525,4113.8264,4117.7377,14821763700,235953764969.5000,0.511573,4104.20334
2023-03-03,4126.0183,4135.2116,4100.3827,4130.5513,16033174100,226914545628.4000,0.553384,4103.64931
2023-03-06,4131.1525,4132.8367,4088.4484,4109.0102,16297180700,283079861971.5000,0.562487,4104.755925
2023-03-07,4103.6419,4124.9609,4046.5679,4048.8519,19591206800,272491994009.2000,0.676096,4102.486845
2023-03-08,4030.7387,4037.2870,4011.5231,4034.1077,11793649300,191659655190.9000,0.407001,4100.385174999999
2023-03-09,4035.8433,4043.8493,4000.8901,4019.8505,11653962900,201737990686.8000,0.402181,4094.8348749999996
2023-03-10,3991.7959,4004.3612,3966.4280,3967.1352,12385540900,218286956131.0000,0.427418,4087.87615
2023-03-13,3962.6426,4008.6860,3962.6426,4008.686,14356137000,242865516757.6000,0.495420,4081.1317499999996
2023-03-14,3999.8803,4001.9415,3946.9405,3984.6956,15054417400,267224848810.5000,0.519517,4073.1020200000007
2023-03-15,4011.8444,4018.7495,3986.9020,3986.902,14202600700,232101093978.6000,0.490121,4066.2626549999995
2023-03-16,3958.1962,3981.3210,3936.4758,3939.1505,15251564400,246264286428.0000,0.526320,4058.5458
2023-03-17,3971.1585,4004.2153,3945.2501,3958.8194,17743381800,305541015556.1000,0.612310,4054.7614200000003
2023-03-20,3962.6625,3979.5485,3935.0161,3939.077,20526497000,319760032638.0000,0.707120,4045.04079
2023-03-21,3948.1573,3982.7047,3948.1573,3982.3782,14509067900,251631985016.9000,0.499825,4036.94202
2023-03-22,3993.7849,4016.4495,3986.7093,3999.4427,14922897000,265180992104.1000,0.514081,4031.5666250000004
2023-03-23,3985.9928,4039.0895,3983.9986,4039.0895,15888742100,296479529467.0000,0.546412,4028.338785
2023-03-24,4035.1564,4037.8417,4017.0028,4027.0457,15944233000,295785588943.1000,0.548315,4026.638785
2023-03-27,4023.3028,4023.3028,3987.0297,4012.4771,16848227900,315474696948.0000,0.579397,4025.07042
2023-03-28,4015.6973,4023.7834,3994.5999,3999.5147,13189511700,248736920971.8000,0.453577,4021.5732199999998
2023-03-29,4013.5926,4017.7572,3992.6662,4006.144,13374351000,263866922733.1000,0.459934,4015.533345
2023-03-30,4009.5573,4040.5023,3983.8958,4038.5257,14990103700,280004715991.0000,0.515139,4011.5727450000004
2023-03-31,4045.4538,4063.5675,4039.9587,4050.9257,13884254600,279863685781.0000,0.476845,4007.591465
2023-04-03,4059.6227,4094.9376,4059.0607,4090.5676,18212431300,382895558426.0000,0.625494,4006.6693349999996
2023-04-04,4089.2932,4103.1583,4080.0682,4103.1052,19714663100,394443175146.2000,0.677071,4009.382
2023-04-06,4084.1320,4098.8332,4078.4048,4096.64,15070337400,328981851588.3000,0.517563,4012.508615
2023-04-07,4096.9009,4131.3126,4092.1848,4123.2799,12867673800,286567771883.1000,0.441916,4017.680085
2023-04-10,4132.0096,4132.2952,4099.0519,4104.8118,15245300200,340822557207.6000,0.522997,4024.563915
2023-04-11,4108.5062,4116.1247,4083.4946,4100.1479,15390133300,324192951998.7000,0.527947,4029.13701
2023-04-12,4102.3968,4108.2451,4090.2784,4097.2876,16596527800,325425226403.2000,0.569331,4034.7666099999997
2023-04-13,4081.3871,4088.8809,4059.5744,4068.9786,15644429500,300291020752.9000,0.536670,4038.87044
2023-04-14,4078.9703,4098.2151,4075.2049,4091.9988,15069568200,306201501438.7000,0.516947,4046.512855
2023-04-17,4090.0719,4149.3836,4089.5090,4149.3836,18877309500,341831272792.7000,0.647568,4056.041065
2023-04-18,4139.3088,4169.6678,4138.4618,4162.032,17018413000,331545662315.6000,0.583800,4067.1888150000004
2023-04-19,4159.3938,4159.3938,4118.6261,4124.5589,16255459200,312219504522.6000,0.557165,4074.29785
2023-04-20,4122.9461,4125.8231,4094.0022,4113.0192,16270667700,332172409512.0000,0.557465,4079.9766750000003
2023-04-21,4114.2642,4114.2642,4031.9123,4032.5672,18080243500,347852011602.5000,0.619445,4079.6505599999996
2023-04-24,4031.3030,4033.6367,3967.9070,3982.6429,17009921700,328375614674.3000,0.582590,4077.4304199999997
2023-04-25,3985.1055,3991.6868,3925.4360,3962.6658,17255540900,331110619767.7000,0.590811,4074.9398550000005
2023-04-26,3950.2553,3975.6562,3934.6625,3959.2323,16270200600,322062811333.5000,0.556745,4072.925735
2023-04-27,3948.0313,3999.1302,3942.8152,3988.4185,15382819500,304804002557.4000,0.526379,4072.03946
2023-04-28,3993.2561,4030.4469,3993.2561,4029.0858,17950848800,328936294025.2000,0.614253,4071.567464999999
2023-05-04,4013.4713,4035.7832,4001.1259,4030.2471,22758284600,345492506049.3000,0.778534,4070.533535
2023-05-05,4031.0946,4047.6015,3998.3920,4016.8774,20662692400,307694489937.0000,0.706846,4066.8490250000004
2023-05-08,4028.1056,4070.7724,4018.9608,4062.6624,25558308500,359539954170.1000,0.873923,4064.826885
2023-05-09,4065.4390,4092.8501,4026.3886,4027.8754,27930604800,396422120420.6000,0.954894,4061.388655
2023-05-10,4017.9358,4019.0587,3984.6287,3996.8695,20755270900,309484851741.1000,0.709583,4055.068135
2023-05-11,4005.7823,4018.0579,3988.4816,3990.6637,14480461900,241052071431.6000,0.494978,4049.3607299999994
2023-05-12,3987.7690,3999.3831,3937.5274,3937.7622,14442172800,228992923388.1000,0.493669,4041.2414449999997
2023-05-15,3938.8300,3998.8872,3923.0317,3998.8872,17625736200,279531163508.4000,0.602411,4036.3214250000005
2023-05-16,4002.5237,4005.0150,3966.9921,3978.2054,13683327100,234840652671.0000,0.467599,4031.782765
2023-05-17,3971.7017,3982.6044,3945.7137,3960.165,11844818500,205195685976.4000,0.404772,4025.191075
2023-05-18,3965.5162,3982.7178,3939.5526,3956.0701,13653394700,229134184412.9000,0.466576,4015.5254
2023-05-19,3946.2215,3967.2816,3928.3160,3944.5403,12021247900,207094944781.3000,0.410800,4004.6508149999995
2023-05-22,3941.0015,3985.4031,3935.8015,3969.3277,10911660500,202185550245.9000,0.372882,3996.8892550000005
2023-05-23,3968.2346,3971.9390,3913.1882,3913.1882,11868507700,189955815340.0000,0.405571,3986.8977049999994
2023-05-24,3903.7818,3903.7818,3859.0935,3859.0935,13725826500,211768410520.2000,0.469057,3978.22402
2023-05-25,3851.4053,3861.3815,3817.8365,3850.4996,12415077000,213313620055.3000,0.424252,3971.616855
2023-05-26,3848.4174,3859.6291,3815.5701,3850.9511,10032643900,191537814872.5000,0.342775,3966.0311199999996
2023-05-29,3862.0838,3866.7238,3819.1822,3833.9416,13185996700,230095604813.4000,0.450513,3959.7665850000003
2023-05-30,3827.7924,3844.0052,3789.2736,3837.7531,13761962900,244566265534.9000,0.470183,3952.2333150000004
2023-05-31,3827.1634,3827.1634,3781.4034,3798.5434,12638736800,235606123947.6000,0.431807,3940.706195
2023-06-01,3788.5902,3832.2051,3786.7344,3806.8679,13456188100,241829546409.4000,0.459566,3929.537235
2023-06-02,3821.6198,3865.2843,3821.6198,3861.8337,12501511000,232696547130.8000,0.426929,3921.78505
