code,name,trigger_date,buy_date,sell_date,profit_pct,hold_days,exit_reason
000969,000969_data,2019-02-25 00:00:00,2019-02-26,2019-03-14 00:00:00,5.61290050590221,16,移动止盈
000558,000558_data,2019-02-25 00:00:00,2019-02-26,2019-03-08 00:00:00,5.531656804733736,10,移动止盈
002249,002249_data,2019-02-19 00:00:00,2019-02-20,2019-03-08 00:00:00,5.492592592592586,16,移动止盈
000936,000936_data,2019-02-25 00:00:00,2019-02-26,2019-03-05 00:00:00,5.426649746192899,7,移动止盈
000823,000823_data,2019-02-14 00:00:00,2019-02-15,2019-02-27 00:00:00,5.31630785791174,12,移动止盈
000751,000751_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,5.3157824933687,8,移动止盈
000419,000419_data,2019-02-26 00:00:00,2019-02-27,2019-03-27 00:00:00,5.315271966527204,28,移动止盈
002908,002908_data,2019-02-19 00:00:00,2019-02-20,2019-03-06 00:00:00,5.290228097459829,14,移动止盈
000981,000981_data,2019-02-13 00:00:00,2019-02-14,2019-02-19 00:00:00,5.197945205479464,5,移动止盈
002933,002933_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,5.195897644191718,9,移动止盈
000723,000723_data,2019-02-15 00:00:00,2019-02-16,2019-02-25 00:00:00,5.1851812366737695,7,移动止盈
603389,603389_data,2019-02-22 00:00:00,2019-02-23,2019-03-07 00:00:00,5.156196377502386,10,移动止盈
600316,600316_data,2019-02-22 00:00:00,2019-02-23,2019-03-05 00:00:00,5.034379785604905,8,移动止盈
002940,002940_data,2019-02-13 00:00:00,2019-02-14,2019-03-08 00:00:00,5.019288389513121,22,移动止盈
002609,002609_data,2019-02-13 00:00:00,2019-02-14,2019-02-20 00:00:00,4.922131147541,6,移动止盈
000728,000728_data,2019-02-14 00:00:00,2019-02-15,2019-02-22 00:00:00,4.872898903775892,7,移动止盈
600255,600255_data,2019-02-26 00:00:00,2019-02-27,2019-03-04 00:00:00,4.851793721973099,5,移动止盈
000750,000750_data,2019-02-11 00:00:00,2019-02-12,2019-02-22 00:00:00,4.846721311475419,10,移动止盈
000797,000797_data,2019-02-11 00:00:00,2019-02-12,2019-03-01 00:00:00,4.84311663479924,17,移动止盈
000897,000897_data,2019-02-26 00:00:00,2019-02-27,2019-03-05 00:00:00,4.842452830188677,6,移动止盈
000557,000557_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,4.792857142857145,9,移动止盈
002897,002897_data,2019-02-26 00:00:00,2019-02-27,2019-03-04 00:00:00,4.676907807675333,5,移动止盈
002098,002098_data,2019-02-12 00:00:00,2019-02-13,2019-02-20 00:00:00,4.674719101123601,7,移动止盈
002479,002479_data,2019-02-26 00:00:00,2019-02-27,2019-03-26 00:00:00,4.615250965250984,27,移动止盈
000550,000550_data,2019-02-12 00:00:00,2019-02-13,2019-02-27 00:00:00,4.586632468316221,14,移动止盈
